SimulationID,NodeID,NodeType,EnergyConsumed,TransmittedDistance,X,Y,NeighborsCount,Goodness
2,14,Benevolent Server,"77,28317","7728,32",70.42,70.1,5,"1,00"
2,15,Benevolent Server,"34,33434","3433,43",35.48,26.19,8,"1,00"
2,16,Benevolent Server,"34,45055","3445,05",61.87,58.11,1,"1,00"
2,17,Benevolent Server,"53,92641","5392,64",82.96,37.93,5,"1,00"
2,18,Benevolent Server,"17,70140","1770,14",8.13,96.88,6,"1,00"
2,19,Relay/Other,"70,70333","7070,33",70.27,87.67,5,"-1,00"
2,20,Relay/Other,"34,74791","3474,79",25.07,7.45,7,"-1,00"
2,21,Relay/Other,"96,96874","9696,87",71.24,64.92,5,"-1,00"
2,22,Relay/Other,"36,91332","3691,33",39.27,5.39,4,"-1,00"
2,23,Relay/Other,"61,55384","6155,38",67.89,63.28,8,"-1,00"
2,24,Relay/Other,"124,80292","12480,29",50.7,83.16,3,"-1,00"
2,25,Relay/Other,"42,68154","4268,15",73.13,71.62,3,"-1,00"
2,26,Relay/Other,"158,85383","15885,38",64.83,23.34,4,"-1,00"
2,27,Relay/Other,"67,45424","6745,42",77.66,33.81,5,"-1,00"
2,28,Relay/Other,"69,28835","6928,83",13.31,7.15,2,"-1,00"
2,29,Relay/Other,"38,94545","3894,55",13.5,67.35,5,"-1,00"
2,30,Relay/Other,"80,58442","8058,44",16.47,97.27,6,"-1,00"
3,1,Client,"1424,78505","142478,51",89.04,45.93,6,"-1,00"
3,2,Client,"1071,49654","107149,65",9.76,33.93,3,"-1,00"
3,3,Client,"575,68062","57568,06",45.4,22.1,3,"-1,00"
3,4,Client,"868,18395","86818,40",77.38,76.86,3,"-1,00"
3,5,Client,"1748,22224","174822,22",40.73,94.67,7,"-1,00"
3,6,Client,"975,70437","97570,44",72.14,93.21,6,"-1,00"
3,7,Malicious Server,"200,00950","20000,95",3.72,2.4,4,"0,00"
3,8,Malicious Server,"130,56269","13056,27",31.96,11.86,5,"0,00"
3,9,Benevolent Server,"39,02510","3902,51",30.63,29.92,6,"1,00"
3,10,Benevolent Server,"53,17127","5317,13",14.84,97.63,8,"1,00"
3,11,Benevolent Server,"24,51659","2451,66",93.02,90.15,7,"1,00"
3,12,Benevolent Server,"13,11582","1311,58",96.55,22.27,1,"1,00"
3,13,Benevolent Server,"31,59018","3159,02",37.19,64.45,1,"1,00"
3,14,Benevolent Server,"46,82136","4682,14",76.04,61.82,1,"1,00"
3,15,Benevolent Server,"66,98681","6698,68",3.9,68.22,7,"1,00"
3,16,Benevolent Server,"24,15218","2415,22",26.26,69.38,4,"1,00"
3,17,Benevolent Server,"67,61726","6761,73",30.91,65.52,5,"1,00"
3,18,Benevolent Server,"67,39282","6739,28",42.21,88.27,2,"1,00"
3,19,Relay/Other,"61,32616","6132,62",49.78,60.46,5,"-1,00"
3,20,Relay/Other,"158,76946","15876,95",36.36,41.34,3,"-1,00"
3,21,Relay/Other,"20,98098","2098,10",21.94,91.58,6,"-1,00"
3,22,Relay/Other,"16,95542","1695,54",10.54,12.6,8,"-1,00"
3,23,Relay/Other,"16,35277","1635,28",51.12,71.46,2,"-1,00"
3,24,Relay/Other,"127,51819","12751,82",45.85,95.82,5,"-1,00"
3,25,Relay/Other,"33,31284","3331,28",18.77,5.79,5,"-1,00"
3,26,Relay/Other,"64,91516","6491,52",42.9,13.13,1,"-1,00"
3,27,Relay/Other,"10,22479","1022,48",64.13,33.55,8,"-1,00"
3,28,Relay/Other,"82,15030","8215,03",72.37,37.77,6,"-1,00"
3,29,Relay/Other,"31,36021","3136,02",94.38,28.1,7,"-1,00"
3,30,Relay/Other,"84,66641","8466,64",42.49,87.07,3,"-1,00"
4,1,Client,"1168,81320","116881,32",7.63,92.48,3,"-1,00"
4,2,Client,"1401,11003","140111,00",48.34,56.62,8,"-1,00"
4,3,Client,"859,18490","85918,49",36.43,4.77,3,"-1,00"
4,4,Client,"1242,65054","124265,05",87.21,44.31,2,"-1,00"
4,5,Client,"833,32394","83332,39",69.64,67.08,4,"-1,00"
4,6,Client,"2023,86431","202386,43",34.48,52.22,2,"-1,00"
4,7,Malicious Server,"141,00275","14100,27",48.27,65.72,7,"0,00"
4,8,Malicious Server,"88,62039","8862,04",87.64,60.84,1,"0,00"
4,9,Benevolent Server,"28,23410","2823,41",83.49,83.78,3,"1,00"
4,10,Benevolent Server,"19,08746","1908,75",25.13,95.13,1,"1,00"
4,11,Benevolent Server,"43,59037","4359,04",38.35,80.44,2,"1,00"
4,12,Benevolent Server,"52,66917","5266,92",45.02,84.23,8,"1,00"
4,13,Benevolent Server,"49,60803","4960,80",73.54,3.71,7,"1,00"
4,14,Benevolent Server,"38,81331","3881,33",2.02,10.73,5,"1,00"
4,15,Benevolent Server,"64,97225","6497,23",64.84,45.8,6,"1,00"
4,16,Benevolent Server,"15,74410","1574,41",23.4,45.63,8,"1,00"
4,17,Benevolent Server,"43,21146","4321,15",45.44,11.35,4,"1,00"
4,18,Benevolent Server,"12,89724","1289,72",62.83,78.79,6,"1,00"
4,19,Relay/Other,"33,91715","3391,72",17.76,15.48,7,"-1,00"
4,20,Relay/Other,"26,87486","2687,49",20.0,91.3,7,"-1,00"
4,21,Relay/Other,"45,84994","4584,99",20.3,34.44,7,"-1,00"
4,22,Relay/Other,"21,52201","2152,20",66.53,13.83,8,"-1,00"
4,23,Relay/Other,"59,40226","5940,23",50.4,94.53,1,"-1,00"
4,24,Relay/Other,"27,44458","2744,46",91.79,82.53,8,"-1,00"
4,25,Relay/Other,"125,09085","12509,09",89.38,68.41,3,"-1,00"
4,26,Relay/Other,"42,65126","4265,13",39.19,59.65,6,"-1,00"
4,27,Relay/Other,"49,66471","4966,47",96.03,89.93,4,"-1,00"
4,28,Relay/Other,"59,06669","5906,67",95.17,45.47,3,"-1,00"
4,29,Relay/Other,"29,63249","2963,25",87.1,51.18,6,"-1,00"
4,30,Relay/Other,"114,78879","11478,88",62.73,21.29,5,"-1,00"
5,1,Client,"2242,84997","224285,00",14.74,70.2,3,"-1,00"
5,2,Client,"1638,19718","163819,72",32.95,13.08,6,"-1,00"
5,3,Client,"1517,14278","151714,28",92.5,70.17,5,"-1,00"
5,4,Client,"1503,97733","150397,73",3.23,12.22,7,"-1,00"
5,5,Client,"1218,40172","121840,17",21.19,74.02,3,"-1,00"
5,6,Client,"2137,70658","213770,66",16.06,7.96,5,"-1,00"
5,7,Malicious Server,"81,34596","8134,60",36.43,45.45,4,"0,00"
5,8,Malicious Server,"186,67722","18667,72",24.81,77.29,5,"0,00"
5,9,Benevolent Server,"24,44900","2444,90",38.63,41.99,6,"1,00"
5,10,Benevolent Server,"31,67020","3167,02",73.39,21.5,8,"1,00"
5,11,Benevolent Server,"90,97757","9097,76",69.64,64.17,4,"1,00"
5,12,Benevolent Server,"90,35171","9035,17",30.24,19.03,2,"1,00"
5,13,Benevolent Server,"16,12866","1612,87",51.33,38.21,7,"1,00"
5,14,Benevolent Server,"22,53986","2253,99",17.45,83.22,1,"1,00"
5,15,Benevolent Server,"42,78701","4278,70",16.86,16.76,6,"1,00"
5,16,Benevolent Server,"64,33819","6433,82",62.04,82.94,5,"1,00"
5,17,Benevolent Server,"46,47232","4647,23",36.38,77.27,6,"1,00"
5,18,Benevolent Server,"69,07135","6907,13",51.98,77.48,3,"1,00"
5,19,Relay/Other,"56,46637","5646,64",10.83,23.24,4,"-1,00"
5,20,Relay/Other,"61,43160","6143,16",30.18,93.23,8,"-1,00"
5,21,Relay/Other,"149,97821","14997,82",96.19,2.85,6,"-1,00"
5,22,Relay/Other,"84,40996","8441,00",60.92,61.63,1,"-1,00"
5,23,Relay/Other,"61,89690","6189,69",89.93,92.72,7,"-1,00"
5,24,Relay/Other,"49,80966","4980,97",4.37,51.62,6,"-1,00"
5,25,Relay/Other,"63,86711","6386,71",48.73,30.46,4,"-1,00"
5,26,Relay/Other,"22,53597","2253,60",11.21,95.28,1,"-1,00"
5,27,Relay/Other,"48,10140","4810,14",62.43,22.46,7,"-1,00"
5,28,Relay/Other,"60,18399","6018,40",81.56,86.35,7,"-1,00"
5,29,Relay/Other,"115,33072","11533,07",73.7,16.76,8,"-1,00"
5,30,Relay/Other,"36,53945","3653,95",9.03,19.09,5,"-1,00"
