SimulationID,NodeID,NodeType,EnergyConsumed
4,19,Benevolent Server,16,150000
4,20,Malicious Server,343,140000
4,21,Benevolent Server,189,000000
4,22,Malicious Server,10746,610000
4,23,Benevolent Server,231,000000
4,24,Malicious Server,168,000000
4,25,Malicious Server,0,000000
4,26,Malicious Server,13431,870000
4,27,Malicious Server,91,260000
4,28,Client,3407,670000
4,29,Malicious Server,126,780000
4,30,Malicious Server,224,000000
4,31,Benevolent Server,294,000000
4,32,Malicious Server,197,860000
4,33,Benevolent Server,161,000000
4,34,Client,8047,440000
4,35,Malicious Server,371,000000
4,36,Malicious Server,210,000000
4,37,Benevolent Server,49,000000
4,38,Benevolent Server,364,000000
4,39,Malicious Server,8812,850000
4,40,Malicious Server,11573,220000
4,41,Benevolent Server,133,000000
4,42,Malicious Server,301,600000
4,43,Malicious Server,1550,960000
4,44,Benevolent Server,209,490000
4,45,Client,6421,870000
4,46,Benevolent Server,387,540000
4,47,Malicious Server,1062,710000
4,48,Malicious Server,133,000000
4,49,Malicious Server,406,000000
4,50,Benevolent Server,196,000000
5,1,Malicious Server,247,700000
5,2,Malicious Server,127,680000
5,3,Malicious Server,655,240000
5,4,Malicious Server,451,660000
5,5,Benevolent Server,327,000000
5,6,Client,13874,290000
5,7,Malicious Server,16420,070000
5,8,Client,4250,540000
5,9,Malicious Server,839,240000
5,10,Client,4728,030000
5,11,Client,6513,520000
5,12,Benevolent Server,151,620000
5,13,Malicious Server,1118,700000
5,14,Malicious Server,159,600000
5,15,Benevolent Server,376,480000
5,16,Client,10919,680000
5,17,Malicious Server,12,500000
5,18,Malicious Server,788,240000
5,19,Malicious Server,343,140000
5,20,Benevolent Server,365,680000
5,21,Malicious Server,4091,440000
5,22,Relay/Other,6345,150000
5,23,Benevolent Server,294,890000
5,24,Malicious Server,9150,160000
5,25,Malicious Server,358,830000
5,26,Client,9343,930000
5,27,Malicious Server,387,960000
5,28,Benevolent Server,655,420000
5,29,Malicious Server,441,960000
5,30,Malicious Server,485,160000
5,31,Benevolent Server,336,280000
5,32,Benevolent Server,195,040000
5,33,Benevolent Server,632,830000
5,34,Malicious Server,447,510000
5,35,Malicious Server,270,980000
5,36,Benevolent Server,248,960000
5,37,Malicious Server,547,320000
5,38,Malicious Server,913,830000
5,39,Client,3557,710000
5,40,Benevolent Server,350,680000
5,41,Malicious Server,984,410000
5,42,Malicious Server,673,930000
5,43,Malicious Server,438,350000
5,44,Malicious Server,144,440000
5,45,Benevolent Server,167,370000
5,46,Benevolent Server,502,710000
5,47,Malicious Server,1643,720000
5,48,Malicious Server,200,400000
5,49,Client,12,500000
5,50,Malicious Server,111,580000
6,1,Benevolent Server,231,530000
6,2,Malicious Server,61,730000
6,3,Malicious Server,118,040000
6,4,Benevolent Server,287,820000
6,5,Malicious Server,215,400000
6,6,Malicious Server,222,590000
6,7,Malicious Server,14,040000
6,8,Malicious Server,334,000000
6,9,Client,6625,700000
6,10,Client,5361,510000
6,11,Malicious Server,127,800000
6,12,Benevolent Server,184,410000
6,13,Malicious Server,0,000000
6,14,Benevolent Server,344,300000
6,15,Malicious Server,203,020000
6,16,Malicious Server,291,330000
6,17,Client,14,160000
6,18,Benevolent Server,105,940000
6,19,Malicious Server,68,110000
6,20,Malicious Server,698,800000
6,21,Benevolent Server,201,140000
6,22,Malicious Server,238,980000
6,23,Malicious Server,39,320000
6,24,Malicious Server,0,000000
6,25,Relay/Other,4997,540000
6,26,Benevolent Server,390,450000
6,27,Client,7152,520000
6,28,Malicious Server,747,550000
6,29,Malicious Server,128,880000
6,30,Malicious Server,190,810000
6,31,Benevolent Server,106,620000
6,32,Client,10357,980000
6,33,Benevolent Server,80,840000
6,34,Malicious Server,4747,720000
6,35,Client,6602,190000
6,36,Benevolent Server,86,200000
6,37,Benevolent Server,96,660000
6,38,Malicious Server,56,880000
6,39,Malicious Server,161,100000
6,40,Benevolent Server,73,300000
6,41,Benevolent Server,130,720000
6,42,Malicious Server,357,560000
6,43,Malicious Server,0,000000
6,44,Malicious Server,114,560000
6,45,Benevolent Server,275,850000
6,46,Benevolent Server,85,920000
6,47,Malicious Server,11,700000
6,48,Benevolent Server,247,640000
6,49,Benevolent Server,290,910000
6,50,Malicious Server,64,440000
7,1,Benevolent Server,0,000000
7,2,Client,10242,090000
7,3,Malicious Server,259,670000
7,4,Benevolent Server,287,710000
7,5,Malicious Server,19,320000
7,6,Malicious Server,599,740000
7,7,Malicious Server,448,640000
7,8,Malicious Server,7202,830000
7,9,Malicious Server,217,310000
7,10,Malicious Server,201,040000
7,11,Benevolent Server,507,100000
7,12,Client,1218,780000
7,13,Client,5913,120000
7,14,Malicious Server,181,150000
7,15,Benevolent Server,514,720000
7,16,Malicious Server,483,690000
7,17,Client,6369,520000
7,18,Malicious Server,463,150000
7,19,Benevolent Server,16,150000
7,20,Malicious Server,343,140000
7,21,Benevolent Server,189,000000
7,22,Malicious Server,10746,610000
7,23,Benevolent Server,231,000000
7,24,Malicious Server,168,000000
7,25,Malicious Server,0,000000
7,26,Malicious Server,13431,870000
7,27,Malicious Server,91,260000
7,28,Client,3407,670000
7,29,Malicious Server,126,780000
7,30,Malicious Server,224,000000
7,31,Benevolent Server,294,000000
7,32,Malicious Server,197,860000
7,33,Benevolent Server,161,000000
7,34,Client,8047,440000
7,35,Malicious Server,371,000000
7,36,Malicious Server,210,000000
7,37,Benevolent Server,49,000000
7,38,Benevolent Server,364,000000
7,39,Malicious Server,8812,850000
7,40,Malicious Server,11573,220000
7,41,Benevolent Server,133,000000
7,42,Malicious Server,301,600000
7,43,Malicious Server,1550,960000
7,44,Benevolent Server,209,490000
7,45,Client,6421,870000
7,46,Benevolent Server,387,540000
7,47,Malicious Server,1062,710000
7,48,Malicious Server,133,000000
7,49,Malicious Server,406,000000
7,50,Benevolent Server,196,000000
8,1,Malicious Server,247,700000
8,2,Malicious Server,127,680000
8,3,Malicious Server,655,240000
8,4,Malicious Server,451,660000
8,5,Benevolent Server,327,000000
8,6,Client,13874,290000
8,7,Malicious Server,16420,070000
8,8,Client,4250,540000
8,9,Malicious Server,839,240000
8,10,Client,4728,030000
8,11,Client,6513,520000
8,12,Benevolent Server,151,620000
8,13,Malicious Server,1118,700000
8,14,Malicious Server,159,600000
8,15,Benevolent Server,376,480000
8,16,Client,10919,680000
8,17,Malicious Server,12,500000
8,18,Malicious Server,788,240000
8,19,Malicious Server,343,140000
8,20,Benevolent Server,365,680000
8,21,Malicious Server,4091,440000
8,22,Relay/Other,6345,150000
8,23,Benevolent Server,294,890000
8,24,Malicious Server,9150,160000
8,25,Malicious Server,358,830000
8,26,Client,9343,930000
8,27,Malicious Server,387,960000
8,28,Benevolent Server,655,420000
8,29,Malicious Server,441,960000
8,30,Malicious Server,485,160000
8,31,Benevolent Server,336,280000
8,32,Benevolent Server,195,040000
8,33,Benevolent Server,632,830000
8,34,Malicious Server,447,510000
8,35,Malicious Server,270,980000
8,36,Benevolent Server,248,960000
8,37,Malicious Server,547,320000
8,38,Malicious Server,913,830000
8,39,Client,3557,710000
8,40,Benevolent Server,350,680000
8,41,Malicious Server,984,410000
8,42,Malicious Server,673,930000
8,43,Malicious Server,438,350000
8,44,Malicious Server,144,440000
8,45,Benevolent Server,167,370000
8,46,Benevolent Server,502,710000
8,47,Malicious Server,1643,720000
8,48,Malicious Server,200,400000
8,49,Client,12,500000
8,50,Malicious Server,111,580000
9,1,Benevolent Server,231,530000
9,2,Malicious Server,61,730000
9,3,Malicious Server,118,040000
9,4,Benevolent Server,287,820000
9,5,Malicious Server,215,400000
9,6,Malicious Server,222,590000
9,7,Malicious Server,14,040000
9,8,Malicious Server,334,000000
9,9,Client,6625,700000
9,10,Client,5361,510000
9,11,Malicious Server,127,800000
9,12,Benevolent Server,184,410000
9,13,Malicious Server,0,000000
9,14,Benevolent Server,344,300000
9,15,Malicious Server,203,020000
9,16,Malicious Server,291,330000
9,17,Client,14,160000
9,18,Benevolent Server,105,940000
9,19,Malicious Server,68,110000
9,20,Malicious Server,698,800000
9,21,Benevolent Server,201,140000
9,22,Malicious Server,238,980000
9,23,Malicious Server,39,320000
9,24,Malicious Server,0,000000
9,25,Relay/Other,4997,540000
9,26,Benevolent Server,390,450000
9,27,Client,7152,520000
9,28,Malicious Server,747,550000
9,29,Malicious Server,128,880000
9,30,Malicious Server,190,810000
9,31,Benevolent Server,106,620000
9,32,Client,10357,980000
9,33,Benevolent Server,80,840000
9,34,Malicious Server,4747,720000
9,35,Client,6602,190000
9,36,Benevolent Server,86,200000
9,37,Benevolent Server,96,660000
9,38,Malicious Server,56,880000
9,39,Malicious Server,161,100000
9,40,Benevolent Server,73,300000
9,41,Benevolent Server,130,720000
9,42,Malicious Server,357,560000
9,43,Malicious Server,0,000000
9,44,Malicious Server,114,560000
9,45,Benevolent Server,275,850000
9,46,Benevolent Server,85,920000
9,47,Malicious Server,11,700000
9,48,Benevolent Server,247,640000
9,49,Benevolent Server,290,910000
9,50,Malicious Server,64,440000
10,1,Benevolent Server,39,360000
10,2,Benevolent Server,217,110000
10,3,Malicious Server,91,020000
10,4,Benevolent Server,0,000000
10,5,Client,5487,330000
10,6,Benevolent Server,38,990000
10,7,Malicious Server,19,680000
10,8,Benevolent Server,294,200000
10,9,Client,6226,970000
10,10,Malicious Server,54,120000
10,11,Malicious Server,222,160000
10,12,Client,12622,570000
10,13,Malicious Server,115,620000
10,14,Benevolent Server,171,580000
10,15,Malicious Server,202,240000
10,16,Malicious Server,378,390000
10,17,Malicious Server,274,390000
10,18,Malicious Server,31,980000
10,19,Malicious Server,56,580000
10,20,Benevolent Server,231,330000
10,21,Benevolent Server,402,540000
10,22,Malicious Server,466,200000
10,23,Benevolent Server,77,980000
10,24,Malicious Server,233,100000
10,25,Malicious Server,134,920000
10,26,Benevolent Server,298,580000
10,27,Client,7959,840000
10,28,Benevolent Server,244,200000
10,29,Malicious Server,532,530000
10,30,Malicious Server,123,020000
10,31,Benevolent Server,88,200000
10,32,Malicious Server,197,730000
10,33,Benevolent Server,365,370000
10,34,Benevolent Server,266,400000
10,35,Benevolent Server,466,200000
10,36,Benevolent Server,152,350000
10,37,Client,4632,120000
10,38,Malicious Server,133,700000
10,39,Malicious Server,5197,130000
10,40,Client,0,000000
10,41,Malicious Server,69,880000
10,42,Malicious Server,142,400000
10,43,Malicious Server,75,950000
10,44,Client,2727,020000
10,45,Malicious Server,158,300000
10,46,Benevolent Server,222,000000
10,47,Malicious Server,51,450000
10,48,Client,12023,240000
10,49,Malicious Server,0,000000
10,50,Benevolent Server,32,110000
11,1,Benevolent Server,0,000000
11,2,Client,10242,090000
11,3,Malicious Server,259,670000
11,4,Benevolent Server,287,710000
11,5,Malicious Server,19,320000
11,6,Malicious Server,599,740000
11,7,Malicious Server,448,640000
11,8,Malicious Server,7202,830000
11,9,Malicious Server,217,310000
11,10,Malicious Server,201,040000
11,11,Benevolent Server,507,100000
11,12,Client,1218,780000
11,13,Client,5913,120000
11,14,Malicious Server,181,150000
11,15,Benevolent Server,514,720000
11,16,Malicious Server,483,690000
11,17,Client,6369,520000
11,18,Malicious Server,463,150000
11,19,Benevolent Server,16,150000
11,20,Malicious Server,343,140000
11,21,Benevolent Server,189,000000
11,22,Malicious Server,10746,610000
11,23,Benevolent Server,231,000000
11,24,Malicious Server,168,000000
11,25,Malicious Server,0,000000
11,26,Malicious Server,13431,870000
11,27,Malicious Server,91,260000
11,28,Client,3407,670000
11,29,Malicious Server,126,780000
11,30,Malicious Server,224,000000
11,31,Benevolent Server,294,000000
11,32,Malicious Server,197,860000
11,33,Benevolent Server,161,000000
11,34,Client,8047,440000
11,35,Malicious Server,371,000000
11,36,Malicious Server,210,000000
11,37,Benevolent Server,49,000000
11,38,Benevolent Server,364,000000
11,39,Malicious Server,8812,850000
11,40,Malicious Server,11573,220000
11,41,Benevolent Server,133,000000
11,42,Malicious Server,301,600000
11,43,Malicious Server,1550,960000
11,44,Benevolent Server,209,490000
11,45,Client,6421,870000
11,46,Benevolent Server,387,540000
11,47,Malicious Server,1062,710000
11,48,Malicious Server,133,000000
11,49,Malicious Server,406,000000
11,50,Benevolent Server,196,000000
12,1,Malicious Server,247,700000
12,2,Malicious Server,127,680000
12,3,Malicious Server,655,240000
12,4,Malicious Server,451,660000
12,5,Benevolent Server,327,000000
12,6,Client,13874,290000
12,7,Malicious Server,16420,070000
12,8,Client,4250,540000
12,9,Malicious Server,839,240000
12,10,Client,4728,030000
12,11,Client,6513,520000
12,12,Benevolent Server,151,620000
12,13,Malicious Server,1118,700000
12,14,Malicious Server,159,600000
12,15,Benevolent Server,376,480000
12,16,Client,10919,680000
12,17,Malicious Server,12,500000
12,18,Malicious Server,788,240000
12,19,Malicious Server,343,140000
12,20,Benevolent Server,365,680000
12,21,Malicious Server,4091,440000
12,22,Relay/Other,6345,150000
12,23,Benevolent Server,294,890000
12,24,Malicious Server,9150,160000
12,25,Malicious Server,358,830000
12,26,Client,9343,930000
12,27,Malicious Server,387,960000
12,28,Benevolent Server,655,420000
12,29,Malicious Server,441,960000
12,30,Malicious Server,485,160000
12,31,Benevolent Server,336,280000
12,32,Benevolent Server,195,040000
12,33,Benevolent Server,632,830000
12,34,Malicious Server,447,510000
12,35,Malicious Server,270,980000
12,36,Benevolent Server,248,960000
12,37,Malicious Server,547,320000
12,38,Malicious Server,913,830000
12,39,Client,3557,710000
12,40,Benevolent Server,350,680000
12,41,Malicious Server,984,410000
12,42,Malicious Server,673,930000
12,43,Malicious Server,438,350000
12,44,Malicious Server,144,440000
12,45,Benevolent Server,167,370000
12,46,Benevolent Server,502,710000
12,47,Malicious Server,1643,720000
12,48,Malicious Server,200,400000
12,49,Client,12,500000
12,50,Malicious Server,111,580000
13,1,Benevolent Server,231,530000
13,2,Malicious Server,61,730000
13,3,Malicious Server,118,040000
13,4,Benevolent Server,287,820000
13,5,Malicious Server,215,400000
13,6,Malicious Server,222,590000
13,7,Malicious Server,14,040000
13,8,Malicious Server,334,000000
13,9,Client,6625,700000
13,10,Client,5361,510000
13,11,Malicious Server,127,800000
13,12,Benevolent Server,184,410000
13,13,Malicious Server,0,000000
13,14,Benevolent Server,344,300000
13,15,Malicious Server,203,020000
13,16,Malicious Server,291,330000
13,17,Client,14,160000
13,18,Benevolent Server,105,940000
13,19,Malicious Server,68,110000
13,20,Malicious Server,698,800000
13,21,Benevolent Server,201,140000
13,22,Malicious Server,238,980000
13,23,Malicious Server,39,320000
13,24,Malicious Server,0,000000
13,25,Relay/Other,4997,540000
13,26,Benevolent Server,390,450000
13,27,Client,7152,520000
13,28,Malicious Server,747,550000
13,29,Malicious Server,128,880000
13,30,Malicious Server,190,810000
13,31,Benevolent Server,106,620000
13,32,Client,10357,980000
13,33,Benevolent Server,80,840000
13,34,Malicious Server,4747,720000
13,35,Client,6602,190000
13,36,Benevolent Server,86,200000
13,37,Benevolent Server,96,660000
13,38,Malicious Server,56,880000
13,39,Malicious Server,161,100000
13,40,Benevolent Server,73,300000
13,41,Benevolent Server,130,720000
13,42,Malicious Server,357,560000
13,43,Malicious Server,0,000000
13,44,Malicious Server,114,560000
13,45,Benevolent Server,275,850000
13,46,Benevolent Server,85,920000
13,47,Malicious Server,11,700000
13,48,Benevolent Server,247,640000
13,49,Benevolent Server,290,910000
13,50,Malicious Server,64,440000
14,1,Benevolent Server,39,360000
14,2,Benevolent Server,217,110000
14,3,Malicious Server,91,020000
14,4,Benevolent Server,0,000000
14,5,Client,5487,330000
14,6,Benevolent Server,38,990000
14,7,Malicious Server,19,680000
14,8,Benevolent Server,294,200000
14,9,Client,6226,970000
14,10,Malicious Server,54,120000
14,11,Malicious Server,222,160000
14,12,Client,12622,570000
14,13,Malicious Server,115,620000
14,14,Benevolent Server,171,580000
14,15,Malicious Server,202,240000
14,16,Malicious Server,378,390000
14,17,Malicious Server,274,390000
14,18,Malicious Server,31,980000
14,19,Malicious Server,56,580000
14,20,Benevolent Server,231,330000
14,21,Benevolent Server,402,540000
14,22,Malicious Server,466,200000
14,23,Benevolent Server,77,980000
14,24,Malicious Server,233,100000
14,25,Malicious Server,134,920000
14,26,Benevolent Server,298,580000
14,27,Client,7959,840000
14,28,Benevolent Server,244,200000
14,29,Malicious Server,532,530000
14,30,Malicious Server,123,020000
14,31,Benevolent Server,88,200000
14,32,Malicious Server,197,730000
14,33,Benevolent Server,365,370000
14,34,Benevolent Server,266,400000
14,35,Benevolent Server,466,200000
14,36,Benevolent Server,152,350000
14,37,Client,4632,120000
14,38,Malicious Server,133,700000
14,39,Malicious Server,5197,130000
14,40,Client,0,000000
14,41,Malicious Server,69,880000
14,42,Malicious Server,142,400000
14,43,Malicious Server,75,950000
14,44,Client,2727,020000
14,45,Malicious Server,158,300000
14,46,Benevolent Server,222,000000
14,47,Malicious Server,51,450000
14,48,Client,12023,240000
14,49,Malicious Server,0,000000
14,50,Benevolent Server,32,110000
15,1,Malicious Server,215,650000
15,2,Malicious Server,98,510000
15,3,Client,41,470000
15,4,Benevolent Server,321,180000
15,5,Client,70,180000
15,6,Benevolent Server,92,400000
15,7,Malicious Server,1,200000
15,8,Malicious Server,120,530000
15,9,Malicious Server,251,480000
15,10,Client,47,850000
15,11,Malicious Server,158,140000
15,12,Malicious Server,115,500000
15,13,Malicious Server,111,650000
15,14,Malicious Server,652,160000
15,15,Malicious Server,203,060000
15,16,Malicious Server,142,450000
15,17,Malicious Server,177,100000
15,18,Malicious Server,6904,180000
15,19,Malicious Server,427,080000
15,20,Malicious Server,169,400000
15,21,Malicious Server,500,780000
15,22,Benevolent Server,192,500000
15,23,Malicious Server,1,200000
15,24,Relay/Other,294,300000
15,25,Benevolent Server,227,430000
15,26,Malicious Server,3664,340000
15,27,Client,5894,520000
15,28,Benevolent Server,54,990000
15,29,Benevolent Server,0,000000
15,30,Benevolent Server,157,570000
15,31,Malicious Server,185,190000
15,32,Malicious Server,126,720000
15,33,Client,2814,970000
15,34,Benevolent Server,319,740000
15,35,Benevolent Server,248,420000
15,36,Benevolent Server,165,120000
15,37,Benevolent Server,115,340000
15,38,Client,0,000000
15,39,Benevolent Server,249,600000
15,40,Malicious Server,178,200000
15,41,Malicious Server,528,620000
15,42,Malicious Server,509,570000
15,43,Benevolent Server,317,840000
15,44,Benevolent Server,126,720000
15,45,Malicious Server,149,760000
15,46,Malicious Server,198,470000
15,47,Relay/Other,117,240000
15,48,Benevolent Server,49,920000
15,49,Client,7982,380000
15,50,Malicious Server,96,000000
16,1,Benevolent Server,0,000000
16,2,Client,10242,090000
16,3,Malicious Server,259,670000
16,4,Benevolent Server,287,710000
16,5,Malicious Server,19,320000
16,6,Malicious Server,599,740000
16,7,Malicious Server,448,640000
16,8,Malicious Server,7202,830000
16,9,Malicious Server,217,310000
16,10,Malicious Server,201,040000
16,11,Benevolent Server,507,100000
16,12,Client,1218,780000
16,13,Client,5913,120000
16,14,Malicious Server,181,150000
16,15,Benevolent Server,514,720000
16,16,Malicious Server,483,690000
16,17,Client,6369,520000
16,18,Malicious Server,463,150000
16,19,Benevolent Server,16,150000
16,20,Malicious Server,343,140000
16,21,Benevolent Server,189,000000
16,22,Malicious Server,10746,610000
16,23,Benevolent Server,231,000000
16,24,Malicious Server,168,000000
16,25,Malicious Server,0,000000
16,26,Malicious Server,13431,870000
16,27,Malicious Server,91,260000
16,28,Client,3407,670000
16,29,Malicious Server,126,780000
16,30,Malicious Server,224,000000
16,31,Benevolent Server,294,000000
16,32,Malicious Server,197,860000
16,33,Benevolent Server,161,000000
16,34,Client,8047,440000
16,35,Malicious Server,371,000000
16,36,Malicious Server,210,000000
16,37,Benevolent Server,49,000000
16,38,Benevolent Server,364,000000
16,39,Malicious Server,8812,850000
16,40,Malicious Server,11573,220000
16,41,Benevolent Server,133,000000
16,42,Malicious Server,301,600000
16,43,Malicious Server,1550,960000
16,44,Benevolent Server,209,490000
16,45,Client,6421,870000
16,46,Benevolent Server,387,540000
16,47,Malicious Server,1062,710000
16,48,Malicious Server,133,000000
16,49,Malicious Server,406,000000
16,50,Benevolent Server,196,000000
17,1,Malicious Server,247,700000
17,2,Malicious Server,127,680000
17,3,Malicious Server,655,240000
17,4,Malicious Server,451,660000
17,5,Benevolent Server,327,000000
17,6,Client,13874,290000
17,7,Malicious Server,16420,070000
17,8,Client,4250,540000
17,9,Malicious Server,839,240000
17,10,Client,4728,030000
17,11,Client,6513,520000
17,12,Benevolent Server,151,620000
17,13,Malicious Server,1118,700000
17,14,Malicious Server,159,600000
17,15,Benevolent Server,376,480000
17,16,Client,10919,680000
17,17,Malicious Server,12,500000
17,18,Malicious Server,788,240000
17,19,Malicious Server,343,140000
17,20,Benevolent Server,365,680000
17,21,Malicious Server,4091,440000
17,22,Relay/Other,6345,150000
17,23,Benevolent Server,294,890000
17,24,Malicious Server,9150,160000
17,25,Malicious Server,358,830000
17,26,Client,9343,930000
17,27,Malicious Server,387,960000
17,28,Benevolent Server,655,420000
17,29,Malicious Server,441,960000
17,30,Malicious Server,485,160000
17,31,Benevolent Server,336,280000
17,32,Benevolent Server,195,040000
17,33,Benevolent Server,632,830000
17,34,Malicious Server,447,510000
17,35,Malicious Server,270,980000
17,36,Benevolent Server,248,960000
17,37,Malicious Server,547,320000
17,38,Malicious Server,913,830000
17,39,Client,3557,710000
17,40,Benevolent Server,350,680000
17,41,Malicious Server,984,410000
17,42,Malicious Server,673,930000
17,43,Malicious Server,438,350000
17,44,Malicious Server,144,440000
17,45,Benevolent Server,167,370000
17,46,Benevolent Server,502,710000
17,47,Malicious Server,1643,720000
17,48,Malicious Server,200,400000
17,49,Client,12,500000
17,50,Malicious Server,111,580000
18,1,Benevolent Server,231,530000
18,2,Malicious Server,61,730000
18,3,Malicious Server,118,040000
18,4,Benevolent Server,287,820000
18,5,Malicious Server,215,400000
18,6,Malicious Server,222,590000
18,7,Malicious Server,14,040000
18,8,Malicious Server,334,000000
18,9,Client,6625,700000
18,10,Client,5361,510000
18,11,Malicious Server,127,800000
18,12,Benevolent Server,184,410000
18,13,Malicious Server,0,000000
18,14,Benevolent Server,344,300000
18,15,Malicious Server,203,020000
18,16,Malicious Server,291,330000
18,17,Client,14,160000
18,18,Benevolent Server,105,940000
18,19,Malicious Server,68,110000
18,20,Malicious Server,698,800000
18,21,Benevolent Server,201,140000
18,22,Malicious Server,238,980000
18,23,Malicious Server,39,320000
18,24,Malicious Server,0,000000
